,Unnamed: 0,drug_name,SE_name,age_id,count,ROR,ROR_upper,ROR_lower
645,645,DB00009,10018985,2,50.0,5.204631434139631,9.658608181308333,2.8045643696010285
417,417,DB00028,10003658,2,29.0,8.754954954954956,21.100686032946943,3.632547119255221
240,240,DB00028,10019211,2,172.0,0.5865690980059812,0.6993327166344869,0.4919880030657545
241,241,DB00028,10027599,2,16.0,0.253040081354058,0.4275849478859398,0.1497463441784867
418,418,DB00028,10040753,0,365.0,1.7357768211767288,2.093786520429965,1.4389820277932044
242,242,DB00028,10040753,2,122.0,0.5311058702168534,0.6520515575805594,0.4325937759054453
443,443,DB00046,10012671,0,70.0,4.326901053595969,7.460323956080789,2.509552244356606
256,256,DB00046,10012671,2,10.0,0.1471116816431322,0.2848207901586176,0.0759840841106362
444,444,DB00046,10070608,1,9.0,71.5060465116279,215.1560683675432,23.76467801497724
235,235,DB00047,10012671,0,91.0,3.489949185473024,5.337559731736385,2.281893960786003
150,150,DB00047,10012671,2,24.0,0.2510344827586206,0.3933117440740626,0.1602248406852085
236,236,DB00047,10070608,1,9.0,140.74772727272727,460.48943984584463,43.01927692211503
283,283,DB00051,10009900,1,36.0,10.506036217303825,16.059925616725007,6.872808731090995
284,284,DB00051,10021972,1,14.0,74.62929061784897,260.18007089642816,21.40644746130636
285,285,DB00051,10054236,1,20.0,11.907322068612393,21.315709628268152,6.651634935842542
11,11,DB00059,10028813,0,74.0,2.6455831790531605,3.603414077566448,1.9423552793621357
0,0,DB00059,10028813,1,86.0,0.3849755282151534,0.5228728673080357,0.2834458748788449
297,297,DB00065,10000081,1,61.0,3.400502627370345,4.902563433237331,2.358647323226351
298,298,DB00065,10008469,0,86.0,3.4282355455808484,5.40486215902292,2.1744863439974687
299,299,DB00065,10009900,1,191.0,11.688989214948585,15.81072324085583,8.641759569487501
176,176,DB00065,10009900,0,48.0,0.2134684827367754,0.2937095920205143,0.1551491485465623
177,177,DB00065,10009900,2,9.0,0.1142183031054002,0.2227883522047489,0.0585570144721372
300,300,DB00065,10012174,1,35.0,4.585157126823794,7.733368670001909,2.718565061978073
301,301,DB00065,10017918,1,22.0,11.472407654650643,28.347164900473203,4.643008846090625
302,302,DB00065,10021972,1,53.0,18.802696356888585,38.20859275622024,9.252928851502798
178,178,DB00065,10021972,0,9.0,0.1570063995088199,0.3188388546499552,0.0773149480598494
179,179,DB00065,10037087,1,4.0,0.0877453151782447,0.2375407350174221,0.032412294822464
303,303,DB00065,10054236,1,56.0,5.090710382513661,7.797536010403779,3.323528376663492
546,546,DB00073,10033647,1,7.0,79.09806629834254,272.5934237508184,22.95177926909989
547,547,DB00073,10043521,0,104.0,4.110210341805434,6.252660989092315,2.701862308440424
307,307,DB00073,10043521,2,23.0,0.208413547710405,0.3274505773002379,0.1326496573234342
548,548,DB00073,10071066,1,7.0,158.23480662983425,766.9819939809059,32.64516536982006
104,104,DB00115,10003658,2,139.0,4.733195030900534,7.362700251588606,3.0427878950671268
64,64,DB00115,10003658,0,23.0,0.2163343932395756,0.3365186219977993,0.1390727485465616
105,105,DB00115,10019211,0,270.0,2.0073122499560627,2.4282680019495464,1.659331863529366
65,65,DB00115,10019211,2,171.0,0.4728842028200862,0.5729410951613902,0.3903009771254017
106,106,DB00115,10027599,0,54.0,4.754733511803359,8.42896927962556,2.6821180642943543
66,66,DB00115,10027599,2,12.0,0.1631389554665917,0.3041617339786571,0.0875005492722438
107,107,DB00115,10048393,0,49.0,10.787787868958809,25.190818972850405,4.619792918645489
67,67,DB00115,10048393,2,5.0,0.0775007751937984,0.1943977159031638,0.0308973288484092
108,108,DB00115,10067973,2,42.0,32.753107906514174,238.01443564784532,4.507147117425153
68,68,DB00115,10067973,0,1.0,0.0312600969305331,0.2271649297345983,0.0043016924366274
260,260,DB00153,10070608,1,16.0,84.15384615384616,206.012807290383,34.375871653955144
422,422,DB00158,10009900,1,23.0,61.68380952380952,122.44126313000162,31.07524587793401
423,423,DB00158,10021972,1,14.0,480.1947565543071,3658.4994551358704,63.02775415165024
424,424,DB00158,10041101,1,8.0,30.13662551440329,78.41124313815156,11.58272922411409
387,387,DB00169,10000234,0,25.0,inf,inf,inf
388,388,DB00169,10003549,2,456.0,1.7658750429668104,2.0599408830374712,1.5137884261877197
227,227,DB00169,10003549,0,251.0,0.6169514927065253,0.7201772297480926,0.5285214925303153
389,389,DB00169,10003658,2,200.0,2.636307475068397,3.439460401863196,2.020699845631757
228,228,DB00169,10003658,0,74.0,0.4180595802466142,0.5460337996998611,0.3200787437188748
390,390,DB00169,10007559,2,123.0,3.0352230728616685,4.338142220037448,2.1236231167064648
229,229,DB00169,10007559,0,40.0,0.3698009722857024,0.5285449710799284,0.258734387017317
230,230,DB00169,10008479,2,113.0,0.522469410574744,0.6568779791640353,0.415563154261491
391,391,DB00169,10009900,1,36.0,47.90321074744541,79.54020849374051,28.849781052494404
392,392,DB00169,10012378,0,158.0,2.126783214100769,2.7699035113888546,1.632983539384309
231,231,DB00169,10012378,2,72.0,0.4127320597575544,0.5438561426738161,0.3132220816964854
393,393,DB00169,10019211,0,536.0,1.9802135938405496,2.2792246196269605,1.720429765221075
232,232,DB00169,10019211,2,273.0,0.4616732352931476,0.5337555488459693,0.3993254527224604
394,394,DB00169,10020100,2,57.0,8.027677160699506,17.602878870573164,3.660969382919929
233,233,DB00169,10020100,0,7.0,0.1397901729655284,0.306528442231353,0.0637503401494583
395,395,DB00169,10021972,1,17.0,145.23851531291612,432.15927095510585,48.81123175647778
396,396,DB00169,10027599,0,102.0,4.023116572813138,6.079253363153823,2.662410330936916
234,234,DB00169,10027599,2,25.0,0.2313561028313938,0.3578356875535106,0.1495816325176518
397,397,DB00169,10028245,0,71.0,6.242740527149413,11.27907064875732,3.455232306183618
235,235,DB00169,10028245,2,13.0,0.1797702764321223,0.3247995729147448,0.0994993681748606
398,398,DB00169,10040753,0,214.0,2.1504901960784317,2.700959590014509,1.7122092831476263
236,236,DB00169,10040753,2,108.0,0.4809543552824997,0.6058872762973806,0.3817823890919113
399,399,DB00169,10048393,0,114.0,6.214146228059979,9.90044572849358,3.900391396780847
237,237,DB00169,10048393,2,20.0,0.1705091329011477,0.2742248949577692,0.1060201496555539
400,400,DB00169,10048737,1,12.0,20.429860650298608,41.86789373842907,9.968956374978127
401,401,DB00169,10054236,1,18.0,10.079575365057176,17.09433985362506,5.943361393878129
402,402,DB00169,10061603,1,9.0,25.490562913907286,60.58824218890374,10.724338158581949
403,403,DB00169,10061818,2,254.0,2.370979079737272,2.9760246801877326,1.888943271867351
238,238,DB00169,10061818,0,104.0,0.4609673647824319,0.5793373453502304,0.3667826925018983
404,404,DB00169,10070608,1,33.0,35.60172022207268,58.05525238559245,21.832348162959477
376,376,DB00181,10006093,1,17.0,45.246153846153845,99.43813443541464,20.58782025118837
377,377,DB00181,10010071,1,23.0,56.486146095717885,116.68276656031358,27.344952427893556
224,224,DB00181,10010071,0,9.0,0.1267987841945288,0.2719690634840141,0.0591167666912076
378,378,DB00181,10021097,1,20.0,9.048305084745763,15.171952465452836,5.396261627701615
379,379,DB00181,10038695,1,18.0,19.98507462686567,37.12095980610128,10.75950648710714
380,380,DB00181,10041962,1,8.0,41.67378640776699,127.9409030247044,13.574270874302332
459,459,DB00182,10001488,1,15.0,13.25014854426619,29.01916243970253,6.05001735697645
460,460,DB00182,10061422,1,17.0,15.082554207280683,32.39654698613825,7.021842220187705
454,454,DB00186,10003658,2,78.0,4.424361900809297,6.901449707212048,2.836357440796374
264,264,DB00186,10003658,0,26.0,0.2624007193166491,0.4093051471359076,0.1682220171910817
455,455,DB00186,10016288,1,29.0,4.474111634108402,6.665565194443499,3.0031474196893537
370,370,DB00188,10001551,1,10.0,24.028011204481796,52.89399031975166,10.91514024471529
371,371,DB00188,10005364,1,11.0,50.11500353857042,121.79747349177688,20.62040785961368
372,372,DB00188,10009887,1,21.0,30.621029945553538,54.30926635921888,17.26496301247352
373,373,DB00188,10016288,1,14.0,8.240514469453377,14.787947265571384,4.591988157772667
374,374,DB00188,10020942,1,11.0,225.64012738853503,1022.2472744390884,49.80543197422634
375,375,DB00188,10021143,1,12.0,24.659424920127798,50.88559838202461,11.95008522502168
441,441,DB00193,10019211,0,258.0,1.8347625346277672,2.2618872957715235,1.4882941182643916
255,255,DB00193,10019211,2,133.0,0.5493636742044897,0.6780067924561469,0.4451289425024116
442,442,DB00193,10043554,2,56.0,4.7072841695827545,8.611228260916855,2.5732129705321656
5,5,DB00198,10019063,1,20.0,17.58730158730159,42.07164833063642,7.352057487547026
182,182,DB00203,10007559,2,148.0,2.220682863042552,2.866334992953951,1.720466166841403
183,183,DB00203,10007815,1,15.0,10.130527350147396,18.2775951020666,5.614939154685651
184,184,DB00203,10008479,0,395.0,1.9949848673110733,2.404635531879216,1.6551217712772668
117,117,DB00203,10008479,2,143.0,0.5154331724657023,0.6242374561285827,0.4255934222943111
185,185,DB00203,10011703,1,14.0,15.632815460401668,30.00171263392033,8.145698953954664
186,186,DB00203,10016825,0,304.0,1.7711995996766232,2.1723304367353284,1.4441394222737454
118,118,DB00203,10016825,2,118.0,0.5420411725185488,0.6700336378298478,0.4384983321985016
187,187,DB00203,10028813,0,750.0,1.4933610963909187,1.6896308561924194,1.3198902920366142
119,119,DB00203,10028813,2,370.0,0.700316619821029,0.7938932294994928,0.6177699340083174
188,188,DB00203,10033433,0,422.0,1.824710052329965,2.174132207695396,1.5314463229462023
120,120,DB00203,10033433,2,172.0,0.5858730434354575,0.6999030536333649,0.490421096525364
189,189,DB00203,10037660,1,36.0,3.599762873041934,5.109489069885476,2.5361229987759937
190,190,DB00203,10038687,1,26.0,14.630589070262598,23.497087197045232,9.1098158145238
191,191,DB00203,10047461,1,20.0,12.952021986650962,21.99125614925193,7.628253356886863
192,192,DB00203,10047700,0,431.0,1.677013829855592,1.984817302367765,1.416944210518484
121,121,DB00203,10047700,2,156.0,0.4798241095138213,0.5755259773832607,0.4000361149943601
193,193,DB00203,10053377,0,46.0,11.92613888888889,38.35224691708835,3.708590766651905
194,194,DB00203,10061494,1,13.0,34.29932233729702,76.69400034701506,15.33944646875614
62,62,DB00207,10002855,2,3.0,0.07700131545044,0.2460522100762184,0.0240973351926467
98,98,DB00207,10070608,1,33.0,10.386191677175283,16.20188644529976,6.6580504633964726
63,63,DB00207,10070608,2,4.0,0.0719613083874252,0.1965399516092758,0.0263479758818955
446,446,DB00213,10007559,2,103.0,3.0063593262902666,4.472637323926313,2.0207756060216986
258,258,DB00213,10007559,0,31.0,0.336470639991006,0.5027833005296983,0.2251715430020929
447,447,DB00213,10017955,2,150.0,2.298877843942018,3.098227477148688,1.705762207696628
448,448,DB00213,10019211,0,287.0,1.8635761725516908,2.251019731160852,1.5428190623240006
259,259,DB00213,10019211,2,172.0,0.5453984495549656,0.6593495949227016,0.4511407469839014
449,449,DB00213,10027599,0,52.0,5.371271894305745,10.2973798928315,2.801738118124892
260,260,DB00213,10027599,2,9.0,0.1546183585974583,0.3132386034836156,0.076321489591313
450,450,DB00213,10040108,1,8.0,87.18817733990147,241.4990627091851,31.47746489189577
170,170,DB00215,10001497,1,13.0,22.23101076555024,44.54683685323033,11.094341923452909
110,110,DB00215,10002855,2,24.0,0.3110943789638296,0.485448418717989,0.1993614746515694
111,111,DB00215,10012378,2,19.0,0.2723369785338194,0.446294982267726,0.1661847720090162
171,171,DB00215,10028330,1,7.0,129.3532258064516,625.2097858055428,26.762628171240816
172,172,DB00215,10028521,1,8.0,148.3106796116505,701.3027943867772,31.364565866450167
173,173,DB00215,10028622,1,8.0,32.937792161093135,85.94341890341765,12.623399979776998
174,174,DB00215,10043089,1,7.0,51.72774193548387,163.88819185746837,16.32673626707098
12,12,DB00230,10027599,0,78.0,4.478434940855324,8.227758557875601,2.43764803966882
1,1,DB00230,10027599,2,11.0,0.2058305588886447,0.3869410370606236,0.1094901158436037
13,13,DB00230,10048865,2,110.0,4.8381243661257605,7.112600381120183,3.290983062148824
2,2,DB00230,10048865,0,34.0,0.2105610524752638,0.3095481821746804,0.1432279669937512
14,14,DB00230,10056812,2,89.0,4.58213028468288,6.97223143790208,3.0113627369956624
3,3,DB00230,10056812,0,29.0,0.222319551268547,0.3382836090909672,0.1461081221436214
247,247,DB00254,10070608,1,7.0,86.63689320388349,277.4883401334477,27.04960958147431
514,514,DB00264,10002855,0,126.0,2.235582116770236,2.9063806788410047,1.719605224879179
288,288,DB00264,10002855,2,101.0,0.4522914391745399,0.58800278411597,0.3479023424321581
515,515,DB00264,10003549,2,587.0,1.831942751740388,2.164790380551656,1.5502721537403208
289,289,DB00264,10003549,0,183.0,0.5519927580135858,0.6522869208653571,0.4671195989875435
516,516,DB00264,10003658,2,455.0,1.7760812129989825,2.1419773481372744,1.4726880645638716
290,290,DB00264,10003658,0,146.0,0.5693362422011793,0.6866288934972956,0.4720799834576675
517,517,DB00264,10019211,0,315.0,1.9354315239589752,2.2715525678534743,1.64904622369091
291,291,DB00264,10019211,2,291.0,0.5155551569960735,0.6051130996422676,0.4392519680409837
518,518,DB00264,10020100,2,71.0,10.07339849343211,27.585478270757783,3.678506358000976
292,292,DB00264,10020100,0,4.0,0.100371562116846,0.2748624451530239,0.0366526990479443
293,293,DB00264,10027599,2,11.0,0.1636687412310681,0.3202678964948021,0.0836407805756987
519,519,DB00264,10047700,0,275.0,1.6517328083086729,1.9476169775491976,1.4007996959835185
294,294,DB00264,10047700,2,295.0,0.5951599308725265,0.7017165768013555,0.5047840610105226
323,323,DB00273,10039906,1,26.0,7.797217763509899,12.464798117290512,4.877464061552702
478,478,DB00281,10016288,1,29.0,4.382222222222223,6.731009551685744,2.853044770992603
479,479,DB00281,10040753,0,230.0,2.166952329941082,2.7465424754073133,1.709670410081938
278,278,DB00281,10040753,2,78.0,0.450864627693896,0.5824705560167395,0.3489943146580503
259,259,DB00294,10027313,1,217.0,1.6743619078252414,1.9885821177462295,1.4097923205472302
181,181,DB00295,10016288,1,24.0,12.92270531400966,20.954837922894708,7.969344036313335
24,24,DB00316,10000081,2,244.0,0.5806003750628219,0.6759911757791265,0.4986704081374468
40,40,DB00316,10000234,0,42.0,38.46233998213754,279.4766478621983,5.293292331282577
41,41,DB00316,10000804,0,218.0,7.417290802007985,11.066331536113996,4.971494181428755
25,25,DB00316,10000804,2,12.0,0.0652034201468757,0.1164953867084627,0.036494887213771
42,42,DB00316,10001497,1,24.0,5.28568159978035,8.211664213109605,3.402285973853378
43,43,DB00316,10002034,2,443.0,1.8625386148680825,2.1565541933464485,1.6086078905773242
26,26,DB00316,10002034,0,280.0,0.5458911754491854,0.6334254047241838,0.4704534633609337
44,44,DB00316,10002511,0,37.0,33.8798877336225,246.94718155945424,4.648146966465834
27,27,DB00316,10002511,2,1.0,0.0343411280934908,0.2503092513266537,0.0047114242581251
45,45,DB00316,10002855,0,408.0,2.1679823789856023,2.591155420039487,1.8139195971195143
28,28,DB00316,10002855,2,153.0,0.4524281166854125,0.5444186584505507,0.3759812372156257
46,46,DB00316,10003549,2,646.0,1.7752899914919555,2.001348437728262,1.574765540311892
29,29,DB00316,10003549,0,455.0,0.6300819001212125,0.7106024329250645,0.5586853949066383
30,30,DB00316,10003549,1,11.0,0.2535383994348572,0.4596280230131876,0.1398559634518733
47,47,DB00316,10003658,2,292.0,2.9377595318610967,3.619741816035792,2.3842670294348403
31,31,DB00316,10003658,0,126.0,0.3918420567796757,0.4830286459807565,0.317869755218293
48,48,DB00316,10007559,2,196.0,3.2905027486150287,4.289719223750672,2.524036603303893
32,32,DB00316,10007559,0,75.0,0.3473003485452688,0.4532517617784907,0.2661159696906205
33,33,DB00316,10008469,2,96.0,0.5117015278221232,0.6487736299350837,0.4035898524446727
49,49,DB00316,10009033,2,136.0,2.795298662820672,3.775657357810152,2.0694925078950788
34,34,DB00316,10009033,0,62.0,0.4163517298167192,0.5623713191628387,0.30824609473226
50,50,DB00316,10009192,1,14.0,32.7380028038391,72.16766421979762,14.851205718947991
51,51,DB00316,10009900,1,24.0,16.72961718410856,27.99540720663699,9.997357390124623
52,52,DB00316,10012378,0,302.0,2.1494072252186127,2.642602146702161,1.748258407186814
35,35,DB00316,10012378,2,123.0,0.5062526901013136,0.6242238341936149,0.4105767389768121
53,53,DB00316,10012735,2,890.0,1.3836409842448527,1.5226156432666187,1.2573510470277174
54,54,DB00316,10014011,1,21.0,5.006438831104507,7.999951707096018,3.1330726343458704
55,55,DB00316,10016288,1,44.0,3.858373652233008,5.306201621018255,2.805593964103661
36,36,DB00316,10016825,2,74.0,0.4427940687469689,0.577132692982481,0.3397253174209749
56,56,DB00316,10017413,2,90.0,2.795218058267978,4.044847863330759,1.9316533667680484
57,57,DB00316,10017955,2,201.0,2.6988789509679365,3.446024579105603,2.113724793532464
37,37,DB00316,10017955,0,91.0,0.4050088860298527,0.5186069879361247,0.3162938440454366
58,58,DB00316,10018884,2,234.0,1.9004450492828864,2.3273258545788598,1.5518632159901753
59,59,DB00316,10019211,0,988.0,1.7715239010248112,1.9722550454868863,1.5912226661980322
38,38,DB00316,10019211,2,424.0,0.4942486315911543,0.5534435503378828,0.4413850512497475
60,60,DB00316,10020100,2,94.0,6.303251814171411,10.321715534814034,3.8492616173006176
39,39,DB00316,10020100,0,19.0,0.1846124208215699,0.3023062961367694,0.1127391204124348
61,61,DB00316,10021972,1,11.0,47.11911111111111,127.48651114716289,17.415259166817698
62,62,DB00316,10022004,0,137.0,2.6161927439574413,3.6354276342471823,1.8827123414747613
40,40,DB00316,10022004,2,42.0,0.3727901847383153,0.5259784566731761,0.2642171367934556
41,41,DB00316,10022524,2,5.0,0.1198440156459916,0.299836851926312,0.0479013436603397
42,42,DB00316,10027313,2,1.0,0.0264655107235565,0.1917509728249288,0.0036527755115911
63,63,DB00316,10027599,0,208.0,3.602341780816402,4.871738678461382,2.6637032817847914
43,43,DB00316,10027599,2,42.0,0.243052363616759,0.3382222801311187,0.1746616202717096
64,64,DB00316,10028245,0,58.0,6.640512656881515,13.908732070925778,3.170411804709419
65,65,DB00316,10028521,1,14.0,45.016310794780544,107.3809737628168,18.871762534472264
66,66,DB00316,10028622,1,12.0,15.422880853586248,31.575102092725032,7.533317014316854
67,67,DB00316,10028813,0,1258.0,1.3991326212612063,1.5288618945149215,1.280411330088356
44,44,DB00316,10028813,2,768.0,0.7352310362714976,0.8044329067116143,0.6719823022986431
68,68,DB00316,10029354,2,263.0,1.8430068802243245,2.2274129194272434,1.5249414829773091
45,45,DB00316,10029354,0,173.0,0.5804082023042717,0.7025973710481939,0.4794690318859291
69,69,DB00316,10030124,2,232.0,1.792470640290555,2.1894096887174754,1.4674964730724895
70,70,DB00316,10033775,0,229.0,1.96290035482453,2.470236703761072,1.5597605675212798
46,46,DB00316,10033775,2,97.0,0.5148711932777871,0.6521310868349298,0.4065016237055936
71,71,DB00316,10035226,2,198.0,3.1187376526011854,4.040131349147166,2.407477308331951
47,47,DB00316,10035226,0,81.0,0.3732289588803092,0.4834929407965602,0.2881114572580552
72,72,DB00316,10035528,2,235.0,2.081458359741412,2.562316931452396,1.690840368010853
48,48,DB00316,10035528,0,135.0,0.5048153751091983,0.6231826677680092,0.4089307616005597
73,73,DB00316,10035664,2,788.0,1.5745288003436213,1.7490053372126133,1.4174576202623406
49,49,DB00316,10035664,0,600.0,0.6578635174751698,0.7313383676669699,0.5917704126551179
74,74,DB00316,10037660,1,110.0,2.896788545681906,3.5381974630750537,2.371655049207153
75,75,DB00316,10039906,1,43.0,4.015344310164782,5.546880069892903,2.906677217826341
50,50,DB00316,10039906,2,82.0,0.4369238578809472,0.5617643104982195,0.3398266034669628
76,76,DB00316,10040753,0,423.0,1.7190016477308838,2.021355961087207,1.461873475917688
51,51,DB00316,10040753,2,192.0,0.5319414545570612,0.6299339796214458,0.4491926459441444
77,77,DB00316,10043071,1,40.0,4.238189960118762,5.931377515447742,3.028344442967994
52,52,DB00316,10043071,2,74.0,0.4470289494376754,0.5828420454188786,0.3428628445837908
53,53,DB00316,10043521,2,29.0,0.3173816549393458,0.4768684290076299,0.211234606370694
78,78,DB00316,10043554,2,211.0,1.8548295869040827,2.2924656705079496,1.500739069166724
79,79,DB00316,10046571,2,431.0,1.5585486489000966,1.7951203233747963,1.3531538022040206
80,80,DB00316,10046810,0,105.0,7.4044624327826,13.177456258024517,4.160595402098342
54,54,DB00316,10046810,2,9.0,0.1047850219430966,0.2068117762147971,0.0530912747067719
81,81,DB00316,10047700,0,821.0,1.4384937607278516,1.606268401198894,1.288243171632145
82,82,DB00316,10047700,1,100.0,2.088289342695164,2.5677161616066293,1.69837789862472
55,55,DB00316,10047700,2,425.0,0.5822760809324483,0.6536949717871121,0.5186600005491055
83,83,DB00316,10048393,0,89.0,6.274025874081218,11.229230389314006,3.505440649441097
56,56,DB00316,10048393,2,12.0,0.1692850660482,0.3092256703537812,0.0926748208004751
57,57,DB00316,10048962,2,7.0,0.1560029557421393,0.342053452440726,0.0711494710157945
84,84,DB00316,10049119,0,116.0,4.833857401756533,7.62637340891063,3.063864844752481
58,58,DB00316,10049119,2,12.0,0.1208314726515795,0.218476097943414,0.066827652638372
85,85,DB00316,10052076,1,11.0,31.41165432098765,75.85354051718706,13.00785725298683
59,59,DB00316,10054889,2,35.0,0.3340236706029166,0.4848279095725045,0.2301266290990217
86,86,DB00316,10061428,2,365.0,1.6115268963702365,1.8815115837071408,1.3802832574688604
87,87,DB00316,10061603,1,11.0,20.192042328042326,44.51131632381696,9.159885778513631
88,88,DB00316,10061818,2,317.0,1.8472827030738483,2.1955698705298885,1.5542449506524914
89,89,DB00316,10067973,2,88.0,4.310956370362311,6.678277738200772,2.782805021848984
60,60,DB00316,10067973,0,26.0,0.2699299658718901,0.4181584494835108,0.1742454004351595
90,90,DB00316,10070608,1,9.0,25.68522357121706,64.74834100979103,10.189152333704458
317,317,DB00331,10002034,2,175.0,2.0596657711808173,2.6581513307024003,1.5959298629746896
318,318,DB00331,10003658,2,135.0,2.464114951837438,3.3543322814255228,1.8101553413451343
190,190,DB00331,10003658,0,58.0,0.4193713842667144,0.570878527733298,0.3080731703819555
319,319,DB00331,10012671,0,189.0,3.5907023673272693,4.884057022455261,2.639842948485509
191,191,DB00331,10012671,2,50.0,0.2737750945434248,0.3740393135913401,0.2003874985027685
320,320,DB00331,10047942,2,129.0,2.626232713103123,3.6261746830470223,1.9020314425606928
192,192,DB00331,10047942,0,51.0,0.3829006694903675,0.5296876492945145,0.2767912804677321
130,130,DB00333,10014387,1,25.0,84.1903073286052,208.51503356773227,33.99279048041674
85,85,DB00333,10014387,0,6.0,0.0975352775164628,0.2385894124870096,0.03987239107155
353,353,DB00338,10002855,2,93.0,0.4748745322292012,0.6084107154025136,0.3706473532615415
